candidate,motion,status,passed,failure_labels,improved_local_count,global_guardrail_passed,smooth_guardrail_passed,contact_guardrail_passed,score_guardrail_passed,local_guardrail_passed,mpc_guardrail_passed,runtime_guardrail_passed,summary_csv
jg_s128_v14_control,jump,failed,false,"score_guardrail,global_guardrail,contact_guardrail,local_improvement_guardrail",1,false,true,false,false,false,true,true,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_v14_control/summary.csv
jg_s128_v14_smooth015,jump,failed,false,"score_guardrail,global_guardrail,smooth_guardrail,local_improvement_guardrail",0,false,false,true,false,false,true,true,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_v14_smooth015/summary.csv
jg_s128_v14_smooth025,jump,failed,false,local_improvement_guardrail,0,true,true,true,true,false,true,true,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_v14_smooth025/summary.csv
jg_s128_v14_contact015,jump,failed,false,local_improvement_guardrail,0,true,true,true,true,false,true,true,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_v14_contact015/summary.csv
jg_s128_v14_smooth015_contact015,jump,failed,false,"score_guardrail,global_guardrail,contact_guardrail,local_improvement_guardrail",0,false,true,false,false,false,true,true,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_v14_smooth015_contact015/summary.csv
jg_s128_L135_posture,jump,failed,false,"global_guardrail,smooth_guardrail",2,false,false,true,true,true,true,true,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_L135_posture/summary.csv
jg_s128_L140_posture,jump,failed,false,"score_guardrail,global_guardrail",3,false,true,true,false,true,true,true,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_L140_posture/summary.csv
jg_s128_L145_posture,jump,failed,false,"smooth_guardrail,contact_guardrail",3,true,false,false,true,true,true,true,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_L145_posture/summary.csv
jg_s128_L140_smooth015,jump,failed,false,local_improvement_guardrail,1,true,true,true,true,false,true,true,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_L140_smooth015/summary.csv
jg_s128_L140_contact015,jump,failed,false,"score_guardrail,global_guardrail,smooth_guardrail,contact_guardrail,local_improvement_guardrail",0,false,false,false,false,false,true,true,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_L140_contact015/summary.csv
jg_s128_L145_smooth015_contact015,jump,failed,false,"score_guardrail,contact_guardrail,local_improvement_guardrail",1,true,true,false,false,false,true,true,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_L145_smooth015_contact015/summary.csv
