rank,candidate,motion,status,frontier_class,failure_labels,hard_guardrail_passed,score_relaxed_passed,global_relaxed_passed,mpc_guardrail_passed,runtime_guardrail_passed,local_count_3,local_count_5,local_count_8,local_composite_improvement,score_delta,max_global_ratio,contact_delta,control_delta_regression,joint_acc_regression,summary_csv
1,jg_s128_L142_smooth005,jump,completed,local_frontier,,true,true,true,true,true,3,3,1,0.0767039023369,0.0623180389404,0.872305713882,0.00374999642372,-0.0467869736412,-0.0194340254752,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_L142_smooth005/summary.csv
2,jg_s128_L148_posture,jump,completed,local_frontier,,true,true,true,true,true,3,3,1,0.0664596917464,0.135115072131,0.84196115592,-0.00812500715256,-0.0603328657471,0.00322352133596,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_L148_posture/summary.csv
3,jg_s128_L145_smooth005,jump,completed,local_frontier,,true,true,true,true,true,3,1,0,0.0406794945223,0.0885216079652,0.972991541581,-0.0174999833107,0.0187883631127,0.0201560827705,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_L145_smooth005/summary.csv
4,jg_s128_L155_posture,jump,completed,near_frontier,,true,true,true,true,true,2,0,0,0.0310691764151,0.154026255012,0.849269094612,-0.0206249952316,-0.0587089683554,-0.00731319698301,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_L155_posture/summary.csv
5,jg_s128_L148_smooth005,jump,completed,near_frontier,,true,true,true,true,true,2,0,0,0.0303761211654,-0.0748322695494,1.06179041908,0.0181249976158,0.000195259978601,0.011662014844,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_L148_smooth005/summary.csv
6,jg_s128_L145_posture,jump,completed,dead_end,,true,true,true,true,true,1,0,0,0.026142914593,0.0892107330263,0.772734919764,0.0106250047684,-0.0459033051832,-0.00852735789167,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_L145_posture/summary.csv
7,jg_s128_v14_control,jump,completed,dead_end,,true,true,true,true,true,1,0,0,0.0189461034912,0.0937734805048,1.00710250423,-0.0193749964237,-0.0162288502629,0.0358852153796,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_v14_control/summary.csv
8,jg_s128_L140_posture,jump,completed,dead_end,,true,true,true,true,true,1,0,0,0.00340636696162,-0.00749911218882,0.994965859963,0.00249999761581,0.0206860420752,0.0185480475709,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_L140_posture/summary.csv
9,jg_s128_L150_smooth005,jump,completed,dead_end,,true,true,true,true,true,0,0,0,0.0100973889778,0.0323077715933,0.883495479725,0.00874999165535,-0.00942107251257,-0.00307921924846,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_L150_smooth005/summary.csv
10,jg_s128_L142_posture,jump,completed,dead_end,,true,true,true,true,true,0,0,0,0.00734766491181,-0.105215787888,1.06848104833,0.0187500119209,-0.0362325580512,-0.0162949936609,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_L142_posture/summary.csv
11,jg_s128_L138_posture,jump,completed,dead_end,,true,true,true,true,true,0,0,0,0.0046496174679,-0.119697737694,1.08975207828,0.0200000107288,-0.0071098422798,-0.00252203956338,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_L138_posture/summary.csv
12,jg_s128_L150_posture,jump,completed,dead_end,,true,true,true,true,true,0,0,0,-0.00998597324129,0.000643990188837,1.17164502674,-0.015625,0.00211793171216,0.0272400780011,/tmp/g1_wbc_local_upper_bound_gpu_20260622/candidates/jg_s128_L150_posture/summary.csv
