experiment_id,run_id,source_project,motion,method,config_label,seed,status,metrics_source,rollout_source,command_source,video_source,log_source,artifact_ref,notes
2026-06-22-local-frontier-diagnostics-wjs,l145_visual_review_20260622__jump__metrics__ba36ac3e,spider,jump,g1_wbc_joint_global,,,complete,/tmp/g1_wbc_l145_three_motion_saved_20260622/jump/metrics.json,,,,,artifacts#l145_visual_review_20260622__jump__metrics__ba36ac3e,saved visual review; jump instability diagnostic
2026-06-22-local-frontier-diagnostics-wjs,l145_visual_review_20260622__jump_repeat1__metrics__74ae1c25,spider,jump,g1_wbc_joint_global,,,complete,/tmp/g1_wbc_l145_three_motion_saved_20260622/jump_repeat1/metrics.json,,,,,artifacts#l145_visual_review_20260622__jump_repeat1__metrics__74ae1c25,
2026-06-22-local-frontier-diagnostics-wjs,l145_visual_review_20260622__qixing__metrics__368d5b55,spider,qixing,g1_wbc_joint_global,,,complete,/tmp/g1_wbc_l145_three_motion_saved_20260622/qixing/metrics.json,,,,,artifacts#l145_visual_review_20260622__qixing__metrics__368d5b55,
2026-06-22-local-frontier-diagnostics-wjs,l145_visual_review_20260622__walk__metrics__3cbf70b5,spider,walk,g1_wbc_joint_global,,,complete,/tmp/g1_wbc_l145_three_motion_saved_20260622/walk/metrics.json,,,,,artifacts#l145_visual_review_20260622__walk__metrics__3cbf70b5,
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_L125_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__4224e46c,spider,jump,g1_wbc_joint_global,jg_s128_L125_posture,0,complete,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_L125_posture/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_first_stage_20260622__candidates__jg_s128_L125_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__4224e46c,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_L150_contact__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__d009b7a3,spider,jump,g1_wbc_joint_global,jg_s128_L150_contact,0,complete,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_L150_contact/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_first_stage_20260622__candidates__jg_s128_L150_contact__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__d009b7a3,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_L150_global090__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__5041e11a,spider,jump,g1_wbc_joint_global,jg_s128_L150_global090,0,complete,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_L150_global090/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_first_stage_20260622__candidates__jg_s128_L150_global090__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__5041e11a,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_L150_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__1e7ab61d,spider,jump,g1_wbc_joint_global,jg_s128_L150_posture,0,complete,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_L150_posture/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_first_stage_20260622__candidates__jg_s128_L150_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__1e7ab61d,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_L150_smooth__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__9b43b7e6,spider,jump,g1_wbc_joint_global,jg_s128_L150_smooth,0,complete,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_L150_smooth/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_first_stage_20260622__candidates__jg_s128_L150_smooth__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__9b43b7e6,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__480b749b,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,0,complete,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_v14_control/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_first_stage_20260622__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__480b749b,local-frontier diagnostic stage
