experiment_id,run_id,source_project,motion,method,config_label,seed,status,metrics_source,rollout_source,command_source,video_source,log_source,artifact_ref,notes
2026-06-23-mechanism-quality-speed-wjs,2026-06-23-mechanism-quality-speed-wjs-stage_a_budget_curve-jump-s64_i2_h40_c20_k8-seed0,spider,jump,g1_wbc_joint_global,s64_i2_h40_c20_k8,0,complete,spider/outputs/g1_wbc_mechanism_20260623/stage_a_budget_curve/jump/jump_s64_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,,,,artifacts#stage_a_budget_curve-jump-s64_i2_h40_c20_k8-seed0,stage_a_budget_curve
2026-06-23-mechanism-quality-speed-wjs,2026-06-23-mechanism-quality-speed-wjs-stage_a_budget_curve-jump-s96_i2_h40_c20_k8-seed0,spider,jump,g1_wbc_joint_global,s96_i2_h40_c20_k8,0,complete,spider/outputs/g1_wbc_mechanism_20260623/stage_a_budget_curve/jump/jump_s96_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,,,,artifacts#stage_a_budget_curve-jump-s96_i2_h40_c20_k8-seed0,stage_a_budget_curve
2026-06-23-mechanism-quality-speed-wjs,2026-06-23-mechanism-quality-speed-wjs-stage_a_budget_curve-jump-s128_i2_h40_c20_k8-seed0,spider,jump,g1_wbc_joint_global,s128_i2_h40_c20_k8,0,complete,spider/outputs/g1_wbc_mechanism_20260623/stage_a_budget_curve/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,,,,artifacts#stage_a_budget_curve-jump-s128_i2_h40_c20_k8-seed0,stage_a_budget_curve
2026-06-23-mechanism-quality-speed-wjs,2026-06-23-mechanism-quality-speed-wjs-stage_a_budget_curve-jump-s192_i2_h40_c20_k8-seed0,spider,jump,g1_wbc_joint_global,s192_i2_h40_c20_k8,0,complete,spider/outputs/g1_wbc_mechanism_20260623/stage_a_budget_curve/jump/jump_s192_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,,,,artifacts#stage_a_budget_curve-jump-s192_i2_h40_c20_k8-seed0,stage_a_budget_curve
2026-06-23-mechanism-quality-speed-wjs,2026-06-23-mechanism-quality-speed-wjs-stage_a_budget_curve-jump-s256_i2_h40_c20_k8-seed0,spider,jump,g1_wbc_joint_global,s256_i2_h40_c20_k8,0,complete,spider/outputs/g1_wbc_mechanism_20260623/stage_a_budget_curve/jump/jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,,,,artifacts#stage_a_budget_curve-jump-s256_i2_h40_c20_k8-seed0,stage_a_budget_curve
2026-06-23-mechanism-quality-speed-wjs,2026-06-23-mechanism-quality-speed-wjs-stage_a_budget_curve-jump-s512_i2_h40_c20_k8-seed0,spider,jump,g1_wbc_joint_global,s512_i2_h40_c20_k8,0,complete,spider/outputs/g1_wbc_mechanism_20260623/stage_a_budget_curve/jump/jump_s512_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,,,,artifacts#stage_a_budget_curve-jump-s512_i2_h40_c20_k8-seed0,stage_a_budget_curve
2026-06-23-mechanism-quality-speed-wjs,2026-06-23-mechanism-quality-speed-wjs-stage_a_budget_curve-jump-s1024_i2_h40_c20_k8-seed0,spider,jump,g1_wbc_joint_global,s1024_i2_h40_c20_k8,0,complete,spider/outputs/g1_wbc_mechanism_20260623/stage_a_budget_curve/jump/jump_s1024_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,,,,artifacts#stage_a_budget_curve-jump-s1024_i2_h40_c20_k8-seed0,stage_a_budget_curve
2026-06-23-mechanism-quality-speed-wjs,2026-06-23-mechanism-quality-speed-wjs-stage_a_budget_curve-jump-s2048_i2_h40_c20_k8-seed0,spider,jump,g1_wbc_joint_global,s2048_i2_h40_c20_k8,0,complete,spider/outputs/g1_wbc_mechanism_20260623/stage_a_budget_curve/jump/jump_s2048_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,,,,artifacts#stage_a_budget_curve-jump-s2048_i2_h40_c20_k8-seed0,stage_a_budget_curve
2026-06-23-mechanism-quality-speed-wjs,2026-06-23-mechanism-quality-speed-wjs-stage_a_budget_curve-walk-s64_i2_h40_c20_k8-seed0,spider,walk,g1_wbc_joint_global,s64_i2_h40_c20_k8,0,complete,spider/outputs/g1_wbc_mechanism_20260623/stage_a_budget_curve/walk/walk_s64_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,,,,artifacts#stage_a_budget_curve-walk-s64_i2_h40_c20_k8-seed0,stage_a_budget_curve
2026-06-23-mechanism-quality-speed-wjs,2026-06-23-mechanism-quality-speed-wjs-stage_a_budget_curve-walk-s96_i2_h40_c20_k8-seed0,spider,walk,g1_wbc_joint_global,s96_i2_h40_c20_k8,0,complete,spider/outputs/g1_wbc_mechanism_20260623/stage_a_budget_curve/walk/walk_s96_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,,,,artifacts#stage_a_budget_curve-walk-s96_i2_h40_c20_k8-seed0,stage_a_budget_curve
