motion_id,category,method,baseline_score,mpc_score,score_delta,score_status,failure_labels
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,best_s128,-2.241988736,-1.73309027,0.5088984661,improved,stability_regression
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,sweetpoint,-2.241988736,-1.533206362,0.7087823741,improved,stability_regression
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,best_s128,-1.23615785,-0.9810878903,0.2550699599,improved,stability_regression
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,sweetpoint,-1.23615785,-0.8133391559,0.4228186943,improved,stability_regression
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,best_s128,-0.7957369406,-0.8092876786,-0.01355073806,regressed,baseline_regression|stability_regression
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,sweetpoint,-0.7957369406,-0.9770221336,-0.181285193,regressed,baseline_regression|stability_regression
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,best_s128,-0.6167784123,-0.5413250888,0.0754533235,improved,stability_regression
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,sweetpoint,-0.6167784123,-0.4913447775,0.1254336348,improved,stability_regression
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,best_s128,-1.29323577,-0.9634129688,0.3298228014,improved,stability_regression
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,sweetpoint,-1.29323577,-0.9133286268,0.3799071435,improved,stability_regression
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,best_s128,-3.136410779,-2.218256622,0.918154157,improved,stability_regression
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,sweetpoint,-3.136410779,-2.041532281,1.094878498,improved,stability_regression
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,best_s128,-7.059187098,-3.129677495,3.929509602,improved,stability_regression
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,sweetpoint,-7.059187098,-2.833971733,4.225215365,improved,stability_regression
exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,exercise_stretch_warmup,best_s128,-0.7689895255,-0.6051110908,0.1638784347,improved,stability_regression
exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,exercise_stretch_warmup,sweetpoint,-0.7689895255,-0.5816201001,0.1873694254,improved,stability_regression
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,best_s128,-0.5025204798,-0.4813582199,0.02116225995,improved,stability_regression
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,sweetpoint,-0.5025204798,-0.4931583146,0.009362165257,improved,stability_regression
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,best_s128,-0.5559405694,-0.4879846986,0.06795587074,improved,stability_regression
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,sweetpoint,-0.5559405694,-0.5007091988,0.05523137059,improved,stability_regression
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,best_s128,-0.3974247813,-0.4022281058,-0.004803324491,regressed,baseline_regression|stability_regression
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,sweetpoint,-0.3974247813,-0.3834242973,0.01400048397,improved,stability_regression
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,best_s128,-1.0273348,-0.8071871046,0.220147695,improved,stability_regression
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,sweetpoint,-1.0273348,-0.7467347596,0.28060004,improved,stability_regression
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,best_s128,-0.8082873195,-0.6592364624,0.1490508571,improved,stability_regression
