motion_id,category,rank,method,score,success_current,track_status,failure_labels
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,1,sweetpoint,-1.533206362,true,tracked,
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,2,best_s128,-1.73309027,true,tracked,
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,3,no_mpc_baseline,-2.241988736,false,failed,root_orientation_drift
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,1,sweetpoint,-0.8133391559,true,tracked,
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,2,best_s128,-0.9810878903,true,tracked,
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,3,no_mpc_baseline,-1.23615785,true,tracked,
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,1,no_mpc_baseline,-0.7957369406,true,tracked,
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,2,best_s128,-0.8092876786,true,tracked,
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,3,sweetpoint,-0.9770221336,true,tracked,
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,1,sweetpoint,-0.4913447775,true,tracked,
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,2,best_s128,-0.5413250888,true,tracked,
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,3,no_mpc_baseline,-0.6167784123,true,tracked,
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,1,sweetpoint,-0.9133286268,true,tracked,
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,2,best_s128,-0.9634129688,true,tracked,
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,3,no_mpc_baseline,-1.29323577,true,borderline,borderline
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,1,sweetpoint,-2.041532281,true,tracked,
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,2,best_s128,-2.218256622,true,borderline,borderline
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,3,no_mpc_baseline,-3.136410779,true,failed,root_translation_drift|ee_global_tracking_failure
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,1,sweetpoint,-2.833971733,true,borderline,borderline
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,2,best_s128,-3.129677495,true,failed,ee_global_tracking_failure
