motion_id,category,method,track_status,success_current,score,failure_labels,missing_metrics
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,no_mpc_baseline,failed,false,-2.241988736,root_orientation_drift,
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,best_s128,tracked,true,-1.73309027,stability_regression,
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,sweetpoint,tracked,true,-1.533206362,stability_regression,
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,no_mpc_baseline,tracked,true,-1.23615785,,
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,best_s128,tracked,true,-0.9810878903,stability_regression,
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,sweetpoint,tracked,true,-0.8133391559,stability_regression,
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,no_mpc_baseline,tracked,true,-0.7957369406,,
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,best_s128,tracked,true,-0.8092876786,baseline_regression|stability_regression,
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,sweetpoint,tracked,true,-0.9770221336,baseline_regression|stability_regression,
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,no_mpc_baseline,tracked,true,-0.6167784123,,
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,best_s128,tracked,true,-0.5413250888,stability_regression,
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,sweetpoint,tracked,true,-0.4913447775,stability_regression,
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,no_mpc_baseline,borderline,true,-1.29323577,borderline,
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,best_s128,tracked,true,-0.9634129688,stability_regression,
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,sweetpoint,tracked,true,-0.9133286268,stability_regression,
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,no_mpc_baseline,failed,true,-3.136410779,root_translation_drift|ee_global_tracking_failure,
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,best_s128,borderline,true,-2.218256622,borderline|stability_regression,
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,sweetpoint,tracked,true,-2.041532281,stability_regression,
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,no_mpc_baseline,failed,false,-7.059187098,root_translation_drift|root_orientation_drift|ee_global_tracking_failure,
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,best_s128,failed,true,-3.129677495,ee_global_tracking_failure|stability_regression,
dance__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_dancedb_20120805_vasoaristeidou_vaso_aristeidou_zeimpekiko_v1_poses_motion_seg2__motion,dance,sweetpoint,borderline,true,-2.833971733,borderline|stability_regression,
exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,exercise_stretch_warmup,no_mpc_baseline,tracked,true,-0.7689895255,,
exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,exercise_stretch_warmup,best_s128,tracked,true,-0.6051110908,stability_regression,
exercise_stretch_warmup__sonic_filtered_220720__body_stretch_1_001_a029,exercise_stretch_warmup,sweetpoint,tracked,true,-0.5816201001,stability_regression,
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,no_mpc_baseline,tracked,true,-0.5025204798,,
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,best_s128,tracked,true,-0.4813582199,stability_regression,
gesture_emotion_social__sonic_filtered_230103__alone_006_a097,gesture_emotion_social,sweetpoint,tracked,true,-0.4931583146,stability_regression,
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,no_mpc_baseline,tracked,true,-0.5559405694,,
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,best_s128,tracked,true,-0.4879846986,stability_regression,
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,sweetpoint,tracked,true,-0.5007091988,stability_regression,
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,no_mpc_baseline,tracked,true,-0.3974247813,,
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,best_s128,tracked,true,-0.4022281058,baseline_regression|stability_regression,
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,sweetpoint,tracked,true,-0.3834242973,stability_regression,
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,no_mpc_baseline,tracked,true,-1.0273348,,
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,best_s128,tracked,true,-0.8071871046,stability_regression,
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,sweetpoint,tracked,true,-0.7467347596,stability_regression,
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,no_mpc_baseline,tracked,true,-0.8082873195,,
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,best_s128,tracked,true,-0.6592364624,stability_regression,
