motion_id,category,method,log_path,num_steps,num_windows,status
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion/no_mpc_baseline.log,1397,,present
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion/best_s128.log,1397,70,present
locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion,locomotion_run_jog_sprint,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/locomotion_run_jog_sprint__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub006_0024_scamper_poses_motion_seg2__motion/sweetpoint.log,1397,70,present
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/jump_hop__sonic_filtered_220705__jump_002_a017/no_mpc_baseline.log,1940,,present
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/jump_hop__sonic_filtered_220705__jump_002_a017/best_s128.log,1940,97,present
jump_hop__sonic_filtered_220705__jump_002_a017,jump_hop,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/jump_hop__sonic_filtered_220705__jump_002_a017/sweetpoint.log,1940,97,present
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125/no_mpc_baseline.log,218,,present
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125/best_s128.log,218,11,present
crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125,crawl_climb,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/crawl_climb__sonic_filtered_230119__change_idle_crawl_to_idle_crawl_right_001_a125/sweetpoint.log,218,11,present
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017/no_mpc_baseline.log,2709,,present
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017/best_s128.log,2709,136,present
turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017,turn_step_balance,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/turn_step_balance__sonic_filtered_220705__step_rotate_reaction_idle_0135_001_a017/sweetpoint.log,2709,136,present
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion/no_mpc_baseline.log,1501,,present
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion/best_s128.log,1501,76,present
idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion,idle_pose_transition,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/idle_pose_transition__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_biomotionlab_ntroje_rub029_0031_rom_poses_motion_seg2__motion/sweetpoint.log,1501,76,present
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,no_mpc_baseline,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306/no_mpc_baseline.log,204,,present
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,best_s128,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306/best_s128.log,204,11,present
dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306,dance,sweetpoint,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/dance__sonic_filtered_230411__dance_basic_chaines_180_r_001_a306/sweetpoint.log,204,11,present
